2026-06-12 15:08:19, tokens_remaining: 2279, call: events, phase: idle
2026-06-12 15:08:19, STATE_CHANGE: Canada vs Bosnia and Herzegovina [— -> 1H]
2026-06-12 15:08:25, tokens_remaining: 2278, call: scores, phase: playing
2026-06-12 15:08:26, tokens_remaining: 2277, call: scores, phase: playing
2026-06-12 15:08:27, tokens_remaining: 2276, call: events, phase: playing
2026-06-12 15:09:17, tokens_remaining: 2275, call: scores, phase: playing
2026-06-12 15:09:18, tokens_remaining: 2275, call: scores, phase: playing
2026-06-12 15:09:20, tokens_remaining: 2274, call: scores, phase: playing
2026-06-12 15:09:20, tokens_remaining: 2274, call: scores, phase: playing
2026-06-12 15:09:21, tokens_remaining: 2273, call: scores, phase: playing
2026-06-12 15:09:22, tokens_remaining: 2273, call: scores, phase: playing
2026-06-12 15:09:24, tokens_remaining: 2272, call: scores, phase: playing
2026-06-12 15:09:24, tokens_remaining: 2272, call: scores, phase: playing
2026-06-12 15:09:26, tokens_remaining: 2271, call: events, phase: playing
2026-06-12 15:09:26, tokens_remaining: 2270, call: scores, phase: playing
2026-06-12 15:09:27, tokens_remaining: 2270, call: scores, phase: playing
2026-06-12 15:09:29, tokens_remaining: 2269, call: scores, phase: playing
2026-06-12 15:09:29, tokens_remaining: 2269, call: scores, phase: playing
2026-06-12 15:09:31, tokens_remaining: 2268, call: scores, phase: playing
2026-06-12 15:09:31, tokens_remaining: 2268, call: scores, phase: playing
2026-06-12 15:09:33, tokens_remaining: 2267, call: scores, phase: playing
2026-06-12 15:09:33, tokens_remaining: 2267, call: scores, phase: playing
2026-06-12 15:09:34, tokens_remaining: 2266, call: scores, phase: playing
2026-06-12 15:09:36, tokens_remaining: 2265, call: events, phase: playing
2026-06-12 15:09:37, tokens_remaining: 2264, call: scores, phase: playing
2026-06-12 15:09:37, tokens_remaining: 2264, call: scores, phase: playing
2026-06-12 15:09:39, tokens_remaining: 2263, call: scores, phase: playing
2026-06-12 15:09:39, tokens_remaining: 2263, call: scores, phase: playing
2026-06-12 15:09:41, tokens_remaining: 2262, call: scores, phase: playing
2026-06-12 15:09:41, tokens_remaining: 2262, call: scores, phase: playing
2026-06-12 15:09:43, tokens_remaining: 2261, call: scores, phase: playing
2026-06-12 15:09:44, tokens_remaining: 2261, call: scores, phase: playing
2026-06-12 15:09:45, tokens_remaining: 2260, call: scores, phase: playing
2026-06-12 15:09:46, tokens_remaining: 2259, call: events, phase: playing
2026-06-12 15:09:47, tokens_remaining: 2258, call: scores, phase: playing
2026-06-12 15:09:47, tokens_remaining: 2258, call: scores, phase: playing
2026-06-12 15:09:49, tokens_remaining: 2257, call: scores, phase: playing
2026-06-12 15:09:49, tokens_remaining: 2257, call: scores, phase: playing
2026-06-12 15:09:51, tokens_remaining: 2256, call: scores, phase: playing
2026-06-12 15:09:51, tokens_remaining: 2256, call: scores, phase: playing
2026-06-12 15:09:53, tokens_remaining: 2255, call: scores, phase: playing
2026-06-12 15:09:53, tokens_remaining: 2255, call: scores, phase: playing
2026-06-12 15:09:55, tokens_remaining: 2254, call: scores, phase: playing
2026-06-12 15:09:56, tokens_remaining: 2253, call: events, phase: playing
2026-06-12 15:09:57, tokens_remaining: 2252, call: scores, phase: playing
2026-06-12 15:09:57, tokens_remaining: 2252, call: scores, phase: playing
2026-06-12 15:09:59, tokens_remaining: 2251, call: scores, phase: playing
2026-06-12 15:09:59, tokens_remaining: 2251, call: scores, phase: playing
2026-06-12 15:10:01, tokens_remaining: 2250, call: scores, phase: playing
2026-06-12 15:10:01, tokens_remaining: 2250, call: scores, phase: playing
2026-06-12 15:10:03, tokens_remaining: 2249, call: scores, phase: playing
2026-06-12 15:10:03, tokens_remaining: 2249, call: scores, phase: playing
2026-06-12 15:10:05, tokens_remaining: 2248, call: scores, phase: playing
