2026-06-14 23:00:23, tokens_remaining: 2027, call: events, phase: postgame
2026-06-14 23:01:23, tokens_remaining: 2026, call: scores, phase: postgame
2026-06-14 23:02:24, tokens_remaining: 2025, call: scores, phase: postgame
2026-06-14 23:03:24, tokens_remaining: 2024, call: scores, phase: postgame
2026-06-14 23:04:25, tokens_remaining: 2023, call: scores, phase: postgame
2026-06-14 23:05:26, tokens_remaining: 2022, call: scores, phase: postgame
2026-06-14 23:06:26, tokens_remaining: 2021, call: scores, phase: postgame
2026-06-14 23:07:27, tokens_remaining: 2020, call: scores, phase: postgame
2026-06-14 23:08:27, tokens_remaining: 2019, call: scores, phase: postgame
2026-06-14 23:09:28, tokens_remaining: 2018, call: scores, phase: postgame
2026-06-14 23:10:28, tokens_remaining: 2017, call: events, phase: postgame
2026-06-14 23:11:29, tokens_remaining: 2016, call: scores, phase: postgame
2026-06-14 23:12:30, tokens_remaining: 2015, call: scores, phase: postgame
2026-06-14 23:13:30, tokens_remaining: 2014, call: scores, phase: postgame
2026-06-14 23:14:31, tokens_remaining: 2013, call: scores, phase: idle
2026-06-14 23:15:31, tokens_remaining: 2012, call: scores, phase: idle
2026-06-14 23:16:32, tokens_remaining: 2011, call: scores, phase: idle
2026-06-14 23:17:32, tokens_remaining: 2010, call: scores, phase: idle
2026-06-14 23:18:33, tokens_remaining: 2009, call: scores, phase: idle
2026-06-14 23:19:34, tokens_remaining: 2008, call: scores, phase: idle
2026-06-14 23:20:34, tokens_remaining: 2007, call: events, phase: idle
2026-06-14 23:21:35, tokens_remaining: 2006, call: scores, phase: idle
2026-06-14 23:22:35, tokens_remaining: 2005, call: scores, phase: idle
2026-06-14 23:23:36, tokens_remaining: 2004, call: scores, phase: idle
2026-06-14 23:24:36, tokens_remaining: 2003, call: scores, phase: idle
2026-06-14 23:25:37, tokens_remaining: 2002, call: scores, phase: idle
2026-06-14 23:26:37, tokens_remaining: 2001, call: scores, phase: idle
2026-06-14 23:27:38, tokens_remaining: 2000, call: scores, phase: idle
2026-06-14 23:28:38, tokens_remaining: 1999, call: scores, phase: idle
2026-06-14 23:29:39, tokens_remaining: 1998, call: scores, phase: idle
2026-06-14 23:30:40, tokens_remaining: 1997, call: events, phase: idle
2026-06-14 23:31:40, tokens_remaining: 1996, call: scores, phase: idle
2026-06-14 23:32:41, tokens_remaining: 1995, call: scores, phase: idle
2026-06-14 23:33:41, tokens_remaining: 1994, call: scores, phase: idle
2026-06-14 23:34:42, tokens_remaining: 1993, call: scores, phase: idle
2026-06-14 23:35:42, tokens_remaining: 1992, call: scores, phase: idle
2026-06-14 23:36:43, tokens_remaining: 1991, call: scores, phase: idle
2026-06-14 23:37:43, tokens_remaining: 1990, call: scores, phase: idle
2026-06-14 23:38:44, tokens_remaining: 1989, call: scores, phase: idle
2026-06-14 23:39:45, tokens_remaining: 1988, call: scores, phase: idle
2026-06-14 23:40:45, tokens_remaining: 1987, call: events, phase: idle
2026-06-14 23:41:46, tokens_remaining: 1986, call: scores, phase: idle
2026-06-14 23:42:46, tokens_remaining: 1985, call: scores, phase: idle
2026-06-14 23:43:47, tokens_remaining: 1984, call: scores, phase: idle
2026-06-14 23:44:48, tokens_remaining: 1983, call: scores, phase: idle
2026-06-14 23:45:48, tokens_remaining: 2499, call: scores, phase: idle
2026-06-14 23:46:49, tokens_remaining: 2498, call: scores, phase: idle
2026-06-14 23:47:49, tokens_remaining: 2497, call: scores, phase: idle
2026-06-14 23:48:50, tokens_remaining: 2496, call: scores, phase: idle
2026-06-14 23:49:50, tokens_remaining: 2495, call: scores, phase: idle
2026-06-14 23:50:51, tokens_remaining: 2494, call: events, phase: idle
2026-06-14 23:51:52, tokens_remaining: 2493, call: scores, phase: idle
2026-06-14 23:52:52, tokens_remaining: 2492, call: scores, phase: idle
2026-06-14 23:53:53, tokens_remaining: 2491, call: scores, phase: idle
2026-06-14 23:54:53, tokens_remaining: 2490, call: scores, phase: idle
2026-06-14 23:55:54, tokens_remaining: 2489, call: scores, phase: idle
2026-06-14 23:56:54, tokens_remaining: 2488, call: scores, phase: idle
2026-06-14 23:57:55, tokens_remaining: 2487, call: scores, phase: idle
2026-06-14 23:58:55, tokens_remaining: 2486, call: scores, phase: idle
2026-06-14 23:59:56, tokens_remaining: 2485, call: scores, phase: idle
