2026-06-15 10:00:38, tokens_remaining: 2445, call: scores, phase: idle
2026-06-15 10:01:38, tokens_remaining: 2444, call: scores, phase: idle
2026-06-15 10:02:39, tokens_remaining: 2443, call: scores, phase: idle
2026-06-15 10:03:40, tokens_remaining: 2442, call: scores, phase: idle
2026-06-15 10:04:40, tokens_remaining: 2441, call: scores, phase: idle
2026-06-15 10:05:41, tokens_remaining: 2440, call: scores, phase: idle
2026-06-15 10:06:41, tokens_remaining: 2499, call: events, phase: idle
2026-06-15 10:07:42, tokens_remaining: 2498, call: scores, phase: idle
2026-06-15 10:08:43, tokens_remaining: 2497, call: scores, phase: idle
2026-06-15 10:09:43, tokens_remaining: 2496, call: scores, phase: idle
2026-06-15 10:10:44, tokens_remaining: 2495, call: scores, phase: idle
2026-06-15 10:11:44, tokens_remaining: 2494, call: scores, phase: idle
2026-06-15 10:12:45, tokens_remaining: 2493, call: scores, phase: idle
2026-06-15 10:13:45, tokens_remaining: 2492, call: scores, phase: idle
2026-06-15 10:14:46, tokens_remaining: 2491, call: scores, phase: idle
2026-06-15 10:15:47, tokens_remaining: 2490, call: scores, phase: idle
2026-06-15 10:16:47, tokens_remaining: 2489, call: events, phase: idle
2026-06-15 10:17:48, tokens_remaining: 2488, call: scores, phase: idle
2026-06-15 10:18:48, tokens_remaining: 2487, call: scores, phase: idle
2026-06-15 10:19:49, tokens_remaining: 2486, call: scores, phase: idle
2026-06-15 10:20:50, tokens_remaining: 2485, call: scores, phase: idle
2026-06-15 10:21:50, tokens_remaining: 2484, call: scores, phase: idle
2026-06-15 10:22:50, tokens_remaining: 2483, call: scores, phase: idle
2026-06-15 10:23:51, tokens_remaining: 2482, call: scores, phase: idle
2026-06-15 10:24:52, tokens_remaining: 2481, call: scores, phase: idle
2026-06-15 10:25:52, tokens_remaining: 2480, call: scores, phase: idle
2026-06-15 10:26:53, tokens_remaining: 2479, call: events, phase: idle
2026-06-15 10:27:54, tokens_remaining: 2478, call: scores, phase: idle
2026-06-15 10:28:56, tokens_remaining: 2477, call: scores, phase: idle
2026-06-15 10:29:56, tokens_remaining: 2476, call: scores, phase: idle
2026-06-15 10:30:57, tokens_remaining: 2475, call: scores, phase: idle
2026-06-15 10:31:57, tokens_remaining: 2474, call: scores, phase: idle
2026-06-15 10:33:00, tokens_remaining: 2473, call: scores, phase: idle
2026-06-15 10:34:00, tokens_remaining: 2472, call: scores, phase: idle
2026-06-15 10:35:02, tokens_remaining: 2471, call: scores, phase: idle
2026-06-15 10:36:02, tokens_remaining: 2470, call: scores, phase: idle
2026-06-15 10:37:03, tokens_remaining: 2469, call: events, phase: idle
2026-06-15 10:38:03, tokens_remaining: 2468, call: scores, phase: idle
2026-06-15 10:39:04, tokens_remaining: 2467, call: scores, phase: idle
2026-06-15 10:40:05, tokens_remaining: 2466, call: scores, phase: idle
2026-06-15 10:41:05, tokens_remaining: 2465, call: scores, phase: idle
2026-06-15 10:42:08, tokens_remaining: 2464, call: scores, phase: idle
2026-06-15 10:43:10, tokens_remaining: 2463, call: scores, phase: idle
2026-06-15 10:44:10, tokens_remaining: 2462, call: scores, phase: idle
2026-06-15 10:45:11, tokens_remaining: 2461, call: scores, phase: idle
2026-06-15 10:45:11, STATE_CHANGE: Spain vs Cape Verde Islands [— -> NS]
2026-06-15 10:46:12, tokens_remaining: 2460, call: scores, phase: pregame
2026-06-15 10:47:13, tokens_remaining: 2459, call: events, phase: pregame
2026-06-15 10:48:14, tokens_remaining: 2458, call: scores, phase: pregame
2026-06-15 10:50:14, tokens_remaining: 2457, call: scores, phase: pregame
2026-06-15 10:51:16, tokens_remaining: 2456, call: scores, phase: pregame
2026-06-15 10:52:17, tokens_remaining: 2455, call: scores, phase: pregame
2026-06-15 10:56:47, tokens_remaining: 2454, call: scores, phase: pregame
2026-06-15 10:57:48, tokens_remaining: 2453, call: events, phase: pregame
2026-06-15 10:58:48, tokens_remaining: 2452, call: scores, phase: pregame
2026-06-15 10:59:49, tokens_remaining: 2451, call: scores, phase: pregame
