2026-06-15 15:24:09, tokens_remaining: 1989, call: events, phase: pregame
2026-06-15 15:24:09, EVENT: GOAL 20' Emam Ashour (0-1) [Belgium vs Egypt]
2026-06-15 15:24:09, EVENT: SUBSTITUTION 56' Maxim De Cuyper [Belgium vs Egypt]
2026-06-15 15:24:09, EVENT: SUBSTITUTION 56' Nicolas Raskin [Belgium vs Egypt]
2026-06-15 15:24:09, EVENT: YELLOW_CARD 13' Marwan Ateya [Belgium vs Egypt]
2026-06-15 15:24:09, EVENT: YELLOW_CARD 14' Timothy Castagne [Belgium vs Egypt]
2026-06-15 15:24:09, EVENT: YELLOW_CARD 34' Ahmed Fatouh [Belgium vs Egypt]
2026-06-15 15:24:09, STATE_CHANGE: Belgium vs Egypt [NS -> 2H]
2026-06-15 15:24:09, GOAL: Egypt (Belgium 0-1 Egypt)
2026-06-15 15:24:10, tokens_remaining: 1988, call: scores, phase: playing
2026-06-15 15:24:11, tokens_remaining: 1988, call: scores, phase: playing
2026-06-15 15:24:12, tokens_remaining: 1987, call: scores, phase: playing
2026-06-15 15:24:13, tokens_remaining: 1986, call: scores, phase: playing
2026-06-15 15:24:14, tokens_remaining: 1985, call: scores, phase: playing
2026-06-15 15:24:15, tokens_remaining: 1984, call: scores, phase: playing
2026-06-15 15:24:16, tokens_remaining: 1983, call: scores, phase: playing
2026-06-15 15:24:18, tokens_remaining: 1982, call: scores, phase: playing
2026-06-15 15:24:19, tokens_remaining: 1980, call: scores, phase: playing
2026-06-15 15:24:20, tokens_remaining: 1979, call: events, phase: playing
2026-06-15 15:24:21, tokens_remaining: 1978, call: scores, phase: playing
2026-06-15 15:24:22, tokens_remaining: 1977, call: scores, phase: playing
2026-06-15 15:24:23, tokens_remaining: 1976, call: scores, phase: playing
2026-06-15 15:24:25, tokens_remaining: 1975, call: scores, phase: playing
2026-06-15 15:24:26, tokens_remaining: 1974, call: scores, phase: playing
2026-06-15 15:24:27, tokens_remaining: 1973, call: scores, phase: playing
2026-06-15 15:24:29, tokens_remaining: 1972, call: scores, phase: playing
2026-06-15 15:24:30, tokens_remaining: 1971, call: scores, phase: playing
2026-06-15 15:24:31, tokens_remaining: 1970, call: scores, phase: playing
2026-06-15 15:24:33, tokens_remaining: 1968, call: events, phase: playing
2026-06-15 15:24:34, tokens_remaining: 1967, call: scores, phase: playing
2026-06-15 15:24:35, tokens_remaining: 1966, call: scores, phase: playing
2026-06-15 15:24:36, tokens_remaining: 1965, call: scores, phase: playing
2026-06-15 15:24:37, tokens_remaining: 1964, call: scores, phase: playing
2026-06-15 15:24:38, tokens_remaining: 1963, call: scores, phase: playing
2026-06-15 15:24:40, tokens_remaining: 1962, call: scores, phase: playing
2026-06-15 15:24:41, tokens_remaining: 1961, call: scores, phase: playing
2026-06-15 15:24:42, tokens_remaining: 1960, call: scores, phase: playing
2026-06-15 15:24:44, tokens_remaining: 1959, call: scores, phase: playing
2026-06-15 15:24:45, tokens_remaining: 1958, call: events, phase: playing
2026-06-15 15:24:46, tokens_remaining: 1957, call: scores, phase: playing
2026-06-15 15:24:48, tokens_remaining: 1956, call: scores, phase: playing
2026-06-15 15:24:49, tokens_remaining: 1955, call: scores, phase: playing
2026-06-15 15:24:50, tokens_remaining: 1954, call: scores, phase: playing
2026-06-15 15:24:52, tokens_remaining: 1953, call: scores, phase: playing
2026-06-15 15:24:53, tokens_remaining: 1952, call: scores, phase: playing
2026-06-15 15:24:54, tokens_remaining: 1951, call: scores, phase: playing
2026-06-15 15:24:55, tokens_remaining: 1950, call: scores, phase: playing
2026-06-15 15:24:57, tokens_remaining: 1949, call: scores, phase: playing
2026-06-15 15:24:58, tokens_remaining: 1948, call: events, phase: playing
2026-06-15 15:25:00, tokens_remaining: 1947, call: scores, phase: playing
2026-06-15 15:25:01, tokens_remaining: 1946, call: scores, phase: playing
2026-06-15 15:25:02, tokens_remaining: 1945, call: scores, phase: playing
2026-06-15 15:25:04, tokens_remaining: 1944, call: scores, phase: playing
2026-06-15 15:25:05, tokens_remaining: 1943, call: scores, phase: playing
2026-06-15 15:25:06, tokens_remaining: 1942, call: scores, phase: playing
2026-06-15 15:25:07, tokens_remaining: 1941, call: scores, phase: playing
2026-06-15 15:25:09, tokens_remaining: 1940, call: scores, phase: playing
2026-06-15 15:25:10, tokens_remaining: 1939, call: scores, phase: playing
2026-06-15 15:25:11, tokens_remaining: 1938, call: events, phase: playing
2026-06-15 15:25:13, tokens_remaining: 1937, call: scores, phase: playing
2026-06-15 15:25:14, tokens_remaining: 1936, call: scores, phase: playing
2026-06-15 15:25:15, tokens_remaining: 1935, call: scores, phase: playing
2026-06-15 15:25:17, tokens_remaining: 1934, call: scores, phase: playing
2026-06-15 15:25:18, tokens_remaining: 1933, call: scores, phase: playing
2026-06-15 15:25:19, tokens_remaining: 1932, call: scores, phase: playing
2026-06-15 15:25:21, tokens_remaining: 1931, call: scores, phase: playing
2026-06-15 15:25:22, tokens_remaining: 1930, call: scores, phase: playing
2026-06-15 15:25:23, tokens_remaining: 1929, call: scores, phase: playing
2026-06-15 15:25:25, tokens_remaining: 1928, call: events, phase: playing
2026-06-15 15:25:26, tokens_remaining: 1927, call: scores, phase: playing
2026-06-15 15:25:27, tokens_remaining: 1926, call: scores, phase: playing
2026-06-15 15:25:29, tokens_remaining: 1925, call: scores, phase: playing
2026-06-15 15:25:30, tokens_remaining: 1924, call: scores, phase: playing
2026-06-15 15:25:31, tokens_remaining: 1923, call: scores, phase: playing
2026-06-15 15:25:33, tokens_remaining: 1922, call: scores, phase: playing
2026-06-15 15:25:34, tokens_remaining: 1921, call: scores, phase: playing
2026-06-15 15:25:35, tokens_remaining: 1920, call: scores, phase: playing
2026-06-15 15:25:37, tokens_remaining: 1919, call: scores, phase: playing
2026-06-15 15:25:38, tokens_remaining: 1918, call: events, phase: playing
2026-06-15 15:25:39, tokens_remaining: 1916, call: scores, phase: playing
2026-06-15 15:25:41, tokens_remaining: 1914, call: scores, phase: playing
2026-06-15 15:25:42, tokens_remaining: 1913, call: scores, phase: playing
2026-06-15 15:25:43, tokens_remaining: 1912, call: scores, phase: playing
2026-06-15 15:25:44, tokens_remaining: 1911, call: scores, phase: playing
2026-06-15 15:25:46, tokens_remaining: 1910, call: scores, phase: playing
2026-06-15 15:25:47, tokens_remaining: 1909, call: scores, phase: playing
2026-06-15 15:25:48, tokens_remaining: 1908, call: scores, phase: playing
2026-06-15 15:25:50, tokens_remaining: 1907, call: scores, phase: playing
2026-06-15 15:25:51, tokens_remaining: 1905, call: events, phase: playing
2026-06-15 15:25:52, tokens_remaining: 1904, call: scores, phase: playing
2026-06-15 15:25:54, tokens_remaining: 1902, call: scores, phase: playing
2026-06-15 15:25:55, tokens_remaining: 1901, call: scores, phase: playing
2026-06-15 15:25:56, tokens_remaining: 1900, call: scores, phase: playing
2026-06-15 15:25:58, tokens_remaining: 1899, call: scores, phase: playing
2026-06-15 15:25:59, tokens_remaining: 1898, call: scores, phase: playing
2026-06-15 15:26:00, tokens_remaining: 1897, call: scores, phase: playing
2026-06-15 15:26:02, tokens_remaining: 1896, call: scores, phase: playing
2026-06-15 15:26:03, tokens_remaining: 1895, call: scores, phase: playing
2026-06-15 15:26:04, tokens_remaining: 1893, call: events, phase: playing
2026-06-15 15:26:06, tokens_remaining: 1892, call: scores, phase: playing
2026-06-15 15:26:07, tokens_remaining: 1890, call: scores, phase: playing
2026-06-15 15:26:08, tokens_remaining: 1889, call: scores, phase: playing
2026-06-15 15:26:10, tokens_remaining: 1888, call: scores, phase: playing
2026-06-15 15:26:11, tokens_remaining: 1887, call: scores, phase: playing
2026-06-15 15:26:12, tokens_remaining: 1886, call: scores, phase: playing
2026-06-15 15:26:14, tokens_remaining: 1885, call: scores, phase: playing
2026-06-15 15:26:15, tokens_remaining: 1884, call: scores, phase: playing
2026-06-15 15:26:16, tokens_remaining: 1883, call: scores, phase: playing
2026-06-15 15:26:18, tokens_remaining: 1881, call: events, phase: playing
2026-06-15 15:26:19, tokens_remaining: 1880, call: scores, phase: playing
2026-06-15 15:26:20, tokens_remaining: 1878, call: scores, phase: playing
2026-06-15 15:26:22, tokens_remaining: 1877, call: scores, phase: playing
2026-06-15 15:26:23, tokens_remaining: 1876, call: scores, phase: playing
2026-06-15 15:26:24, tokens_remaining: 1875, call: scores, phase: playing
2026-06-15 15:26:26, tokens_remaining: 1874, call: scores, phase: playing
2026-06-15 15:26:27, tokens_remaining: 1873, call: scores, phase: playing
2026-06-15 15:26:28, tokens_remaining: 1872, call: scores, phase: playing
2026-06-15 15:26:30, tokens_remaining: 1871, call: scores, phase: playing
2026-06-15 15:26:31, tokens_remaining: 1869, call: events, phase: playing
2026-06-15 15:26:32, tokens_remaining: 1867, call: scores, phase: playing
2026-06-15 15:26:34, tokens_remaining: 1866, call: scores, phase: playing
2026-06-15 15:26:35, tokens_remaining: 1865, call: scores, phase: playing
2026-06-15 15:26:36, tokens_remaining: 1864, call: scores, phase: playing
2026-06-15 15:26:38, tokens_remaining: 1863, call: scores, phase: playing
2026-06-15 15:26:39, tokens_remaining: 1862, call: scores, phase: playing
2026-06-15 15:26:40, tokens_remaining: 1861, call: scores, phase: playing
2026-06-15 15:26:41, tokens_remaining: 1860, call: scores, phase: playing
2026-06-15 15:26:43, tokens_remaining: 1859, call: scores, phase: playing
2026-06-15 15:26:44, tokens_remaining: 1857, call: events, phase: playing
2026-06-15 15:26:46, tokens_remaining: 1856, call: scores, phase: playing
2026-06-15 15:26:47, tokens_remaining: 1854, call: scores, phase: playing
2026-06-15 15:26:48, tokens_remaining: 1853, call: scores, phase: playing
2026-06-15 15:26:49, tokens_remaining: 1852, call: scores, phase: playing
2026-06-15 15:26:51, tokens_remaining: 1851, call: scores, phase: playing
2026-06-15 15:26:52, tokens_remaining: 1850, call: scores, phase: playing
2026-06-15 15:26:53, tokens_remaining: 1849, call: scores, phase: playing
2026-06-15 15:26:55, tokens_remaining: 1848, call: scores, phase: playing
2026-06-15 15:26:56, tokens_remaining: 1847, call: scores, phase: playing
2026-06-15 15:26:57, tokens_remaining: 1845, call: events, phase: playing
2026-06-15 15:26:59, tokens_remaining: 1844, call: scores, phase: playing
2026-06-15 15:27:00, tokens_remaining: 1842, call: scores, phase: playing
2026-06-15 15:27:01, tokens_remaining: 1841, call: scores, phase: playing
2026-06-15 15:27:03, tokens_remaining: 1840, call: scores, phase: playing
2026-06-15 15:27:04, tokens_remaining: 1839, call: scores, phase: playing
2026-06-15 15:27:05, tokens_remaining: 1838, call: scores, phase: playing
2026-06-15 15:27:07, tokens_remaining: 1837, call: scores, phase: playing
2026-06-15 15:27:08, tokens_remaining: 1836, call: scores, phase: playing
2026-06-15 15:27:09, tokens_remaining: 1835, call: scores, phase: playing
