2026-06-16 15:00:23, tokens_remaining: 2057, call: scores, phase: break
2026-06-16 15:01:08, tokens_remaining: 2056, call: scores, phase: break
2026-06-16 15:01:53, tokens_remaining: 2055, call: scores, phase: break
2026-06-16 15:02:39, tokens_remaining: 2054, call: scores, phase: break
2026-06-16 15:03:24, tokens_remaining: 2053, call: scores, phase: break
2026-06-16 15:04:10, tokens_remaining: 2052, call: scores, phase: break
2026-06-16 15:04:56, tokens_remaining: 2051, call: scores, phase: break
2026-06-16 15:05:41, tokens_remaining: 2050, call: scores, phase: break
2026-06-16 15:06:27, tokens_remaining: 2049, call: events, phase: break
2026-06-16 15:07:13, tokens_remaining: 2048, call: scores, phase: break
2026-06-16 15:07:58, tokens_remaining: 2047, call: scores, phase: break
2026-06-16 15:08:44, tokens_remaining: 2046, call: scores, phase: break
2026-06-16 15:09:29, tokens_remaining: 2045, call: scores, phase: break
2026-06-16 15:09:29, STATE_CHANGE: France vs Senegal [HT -> 2H]
2026-06-16 15:09:30, tokens_remaining: 2044, call: scores, phase: playing
2026-06-16 15:09:31, tokens_remaining: 2044, call: scores, phase: playing
2026-06-16 15:09:32, tokens_remaining: 2043, call: scores, phase: playing
2026-06-16 15:09:34, tokens_remaining: 2042, call: scores, phase: playing
2026-06-16 15:09:35, tokens_remaining: 2041, call: scores, phase: playing
2026-06-16 15:09:37, tokens_remaining: 2040, call: events, phase: playing
2026-06-16 15:09:38, tokens_remaining: 2039, call: scores, phase: playing
2026-06-16 15:09:39, tokens_remaining: 2038, call: scores, phase: playing
2026-06-16 15:09:40, tokens_remaining: 2037, call: scores, phase: playing
2026-06-16 15:09:42, tokens_remaining: 2036, call: scores, phase: playing
2026-06-16 15:09:43, tokens_remaining: 2035, call: scores, phase: playing
2026-06-16 15:09:44, tokens_remaining: 2034, call: scores, phase: playing
2026-06-16 15:09:46, tokens_remaining: 2033, call: scores, phase: playing
2026-06-16 15:09:47, tokens_remaining: 2032, call: scores, phase: playing
2026-06-16 15:09:48, tokens_remaining: 2031, call: scores, phase: playing
2026-06-16 15:09:50, tokens_remaining: 2030, call: events, phase: playing
2026-06-16 15:09:51, tokens_remaining: 2029, call: scores, phase: playing
2026-06-16 15:09:52, tokens_remaining: 2028, call: scores, phase: playing
2026-06-16 15:09:54, tokens_remaining: 2027, call: scores, phase: playing
2026-06-16 15:09:55, tokens_remaining: 2026, call: scores, phase: playing
2026-06-16 15:09:56, tokens_remaining: 2025, call: scores, phase: playing
2026-06-16 15:09:58, tokens_remaining: 2024, call: scores, phase: playing
2026-06-16 15:09:59, tokens_remaining: 2023, call: scores, phase: playing
2026-06-16 15:10:00, tokens_remaining: 2022, call: scores, phase: playing
2026-06-16 15:10:02, tokens_remaining: 2021, call: scores, phase: playing
2026-06-16 15:10:03, tokens_remaining: 2020, call: events, phase: playing
2026-06-16 15:10:04, tokens_remaining: 2019, call: scores, phase: playing
2026-06-16 15:10:06, tokens_remaining: 2018, call: scores, phase: playing
