2026-06-17 00:00:38, tokens_remaining: 2139, call: events, phase: break
2026-06-17 00:01:24, tokens_remaining: 2138, call: scores, phase: break
2026-06-17 00:02:09, tokens_remaining: 2137, call: scores, phase: break
2026-06-17 00:02:54, tokens_remaining: 2136, call: scores, phase: break
2026-06-17 00:03:40, tokens_remaining: 2135, call: scores, phase: break
2026-06-17 00:04:25, tokens_remaining: 2134, call: scores, phase: break
2026-06-17 00:05:10, tokens_remaining: 2133, call: scores, phase: break
2026-06-17 00:05:56, tokens_remaining: 2132, call: scores, phase: break
2026-06-17 00:06:41, tokens_remaining: 2131, call: scores, phase: break
2026-06-17 00:07:26, tokens_remaining: 2130, call: scores, phase: break
2026-06-17 00:08:12, tokens_remaining: 2129, call: events, phase: break
2026-06-17 00:08:58, tokens_remaining: 2128, call: scores, phase: break
2026-06-17 00:09:43, tokens_remaining: 2127, call: scores, phase: break
2026-06-17 00:10:28, tokens_remaining: 2126, call: scores, phase: break
2026-06-17 00:11:14, tokens_remaining: 2125, call: scores, phase: break
2026-06-17 00:11:14, STATE_CHANGE: Austria vs Jordan [HT -> 2H]
2026-06-17 00:11:15, tokens_remaining: 2124, call: scores, phase: playing
2026-06-17 00:11:16, tokens_remaining: 2124, call: scores, phase: playing
2026-06-17 00:11:17, tokens_remaining: 2123, call: scores, phase: playing
2026-06-17 00:11:18, tokens_remaining: 2123, call: scores, phase: playing
2026-06-17 00:11:19, tokens_remaining: 2122, call: scores, phase: playing
2026-06-17 00:11:21, tokens_remaining: 2121, call: events, phase: playing
2026-06-17 00:11:21, EVENT: SUBSTITUTION 46' Marko Arnautovic [Austria vs Jordan]
2026-06-17 00:11:22, tokens_remaining: 2120, call: scores, phase: playing
2026-06-17 00:11:23, tokens_remaining: 2120, call: scores, phase: playing
2026-06-17 00:11:24, tokens_remaining: 2119, call: scores, phase: playing
2026-06-17 00:11:25, tokens_remaining: 2119, call: scores, phase: playing
2026-06-17 00:11:26, tokens_remaining: 2118, call: scores, phase: playing
2026-06-17 00:11:27, tokens_remaining: 2118, call: scores, phase: playing
2026-06-17 00:11:28, tokens_remaining: 2117, call: scores, phase: playing
2026-06-17 00:11:29, tokens_remaining: 2117, call: scores, phase: playing
2026-06-17 00:11:31, tokens_remaining: 2116, call: scores, phase: playing
2026-06-17 00:11:32, tokens_remaining: 2115, call: events, phase: playing
