2026-06-17 17:00:00, tokens_remaining: 471, call: scores, phase: playing
2026-06-17 17:00:01, tokens_remaining: 471, call: scores, phase: playing
2026-06-17 17:00:02, tokens_remaining: 470, call: scores, phase: playing
2026-06-17 17:00:03, tokens_remaining: 470, call: scores, phase: playing
2026-06-17 17:00:04, tokens_remaining: 469, call: scores, phase: playing
2026-06-17 17:00:04, tokens_remaining: 469, call: scores, phase: playing
2026-06-17 17:00:06, tokens_remaining: 468, call: scores, phase: playing
2026-06-17 17:00:06, tokens_remaining: 468, call: scores, phase: playing
2026-06-17 17:00:07, tokens_remaining: 467, call: scores, phase: playing
2026-06-17 17:00:08, tokens_remaining: 466, call: events, phase: playing
2026-06-17 17:00:09, tokens_remaining: 465, call: scores, phase: playing
2026-06-17 17:00:10, tokens_remaining: 465, call: scores, phase: playing
2026-06-17 17:00:11, tokens_remaining: 464, call: scores, phase: playing
2026-06-17 17:00:12, tokens_remaining: 464, call: scores, phase: playing
2026-06-17 17:00:13, tokens_remaining: 463, call: scores, phase: playing
2026-06-17 17:00:14, tokens_remaining: 463, call: scores, phase: playing
2026-06-17 17:00:15, tokens_remaining: 462, call: scores, phase: playing
2026-06-17 17:00:16, tokens_remaining: 462, call: scores, phase: playing
2026-06-17 17:00:17, tokens_remaining: 461, call: scores, phase: playing
2026-06-17 17:00:18, tokens_remaining: 460, call: events, phase: playing
2026-06-17 17:00:19, tokens_remaining: 459, call: scores, phase: playing
2026-06-17 17:00:20, tokens_remaining: 459, call: scores, phase: playing
2026-06-17 17:00:21, tokens_remaining: 458, call: scores, phase: playing
2026-06-17 17:00:21, tokens_remaining: 458, call: scores, phase: playing
2026-06-17 17:00:22, tokens_remaining: 457, call: scores, phase: playing
2026-06-17 17:00:23, tokens_remaining: 457, call: scores, phase: playing
2026-06-17 17:00:24, tokens_remaining: 456, call: scores, phase: playing
2026-06-17 17:00:25, tokens_remaining: 456, call: scores, phase: playing
2026-06-17 17:00:26, tokens_remaining: 455, call: scores, phase: playing
2026-06-17 17:00:28, tokens_remaining: 454, call: events, phase: playing
2026-06-17 17:00:29, tokens_remaining: 453, call: scores, phase: playing
2026-06-17 17:00:30, tokens_remaining: 453, call: scores, phase: playing
2026-06-17 17:00:31, tokens_remaining: 452, call: scores, phase: playing
2026-06-17 17:00:31, tokens_remaining: 452, call: scores, phase: playing
2026-06-17 17:00:32, tokens_remaining: 451, call: scores, phase: playing
2026-06-17 17:00:33, tokens_remaining: 451, call: scores, phase: playing
2026-06-17 17:00:34, tokens_remaining: 450, call: scores, phase: playing
2026-06-17 17:00:35, tokens_remaining: 450, call: scores, phase: playing
2026-06-17 17:00:36, tokens_remaining: 449, call: scores, phase: playing
2026-06-17 17:00:37, tokens_remaining: 448, call: events, phase: playing
2026-06-17 17:00:38, tokens_remaining: 447, call: scores, phase: playing
2026-06-17 17:00:39, tokens_remaining: 447, call: scores, phase: playing
2026-06-17 17:00:40, tokens_remaining: 446, call: scores, phase: playing
2026-06-17 17:00:41, tokens_remaining: 446, call: scores, phase: playing
