2026-06-18 13:00:32, tokens_remaining: 491, call: scores, phase: postgame
2026-06-18 13:01:33, tokens_remaining: 490, call: scores, phase: postgame
2026-06-18 13:02:33, tokens_remaining: 489, call: scores, phase: postgame
2026-06-18 13:03:34, tokens_remaining: 488, call: scores, phase: postgame
2026-06-18 13:04:34, tokens_remaining: 487, call: scores, phase: postgame
2026-06-18 13:05:35, tokens_remaining: 486, call: scores, phase: postgame
2026-06-18 13:06:35, tokens_remaining: 485, call: scores, phase: postgame
2026-06-18 13:07:36, tokens_remaining: 484, call: scores, phase: postgame
2026-06-18 13:08:37, tokens_remaining: 2499, call: scores, phase: postgame
2026-06-18 13:09:37, tokens_remaining: 2498, call: events, phase: postgame
2026-06-18 13:10:38, tokens_remaining: 2497, call: scores, phase: postgame
2026-06-18 13:11:38, tokens_remaining: 2496, call: scores, phase: postgame
2026-06-18 13:12:39, tokens_remaining: 2495, call: scores, phase: postgame
2026-06-18 13:13:39, tokens_remaining: 2494, call: scores, phase: postgame
2026-06-18 13:14:40, tokens_remaining: 2493, call: scores, phase: postgame
2026-06-18 13:15:41, tokens_remaining: 2492, call: scores, phase: idle
2026-06-18 13:16:41, tokens_remaining: 2491, call: scores, phase: idle
2026-06-18 13:17:42, tokens_remaining: 2490, call: scores, phase: idle
2026-06-18 13:18:43, tokens_remaining: 2489, call: scores, phase: idle
2026-06-18 13:19:43, tokens_remaining: 2488, call: events, phase: idle
2026-06-18 13:20:44, tokens_remaining: 2487, call: scores, phase: idle
2026-06-18 13:21:44, tokens_remaining: 2486, call: scores, phase: idle
2026-06-18 13:22:45, tokens_remaining: 2485, call: scores, phase: idle
2026-06-18 13:23:45, tokens_remaining: 2484, call: scores, phase: idle
2026-06-18 13:24:46, tokens_remaining: 2483, call: scores, phase: idle
2026-06-18 13:25:47, tokens_remaining: 2482, call: scores, phase: idle
2026-06-18 13:26:48, tokens_remaining: 2481, call: scores, phase: idle
2026-06-18 13:27:49, tokens_remaining: 2480, call: scores, phase: idle
2026-06-18 13:28:50, tokens_remaining: 2479, call: scores, phase: idle
2026-06-18 13:29:51, tokens_remaining: 2478, call: events, phase: idle
2026-06-18 13:30:51, tokens_remaining: 2477, call: scores, phase: idle
2026-06-18 13:31:52, tokens_remaining: 2476, call: scores, phase: idle
2026-06-18 13:32:53, tokens_remaining: 2475, call: scores, phase: idle
2026-06-18 13:33:53, tokens_remaining: 2474, call: scores, phase: idle
2026-06-18 13:34:54, tokens_remaining: 2473, call: scores, phase: idle
2026-06-18 13:35:55, tokens_remaining: 2472, call: scores, phase: idle
2026-06-18 13:36:56, tokens_remaining: 2471, call: scores, phase: idle
2026-06-18 13:37:57, tokens_remaining: 2470, call: scores, phase: idle
2026-06-18 13:38:58, tokens_remaining: 2469, call: scores, phase: idle
2026-06-18 13:39:59, tokens_remaining: 2468, call: events, phase: idle
2026-06-18 13:40:59, tokens_remaining: 2467, call: scores, phase: idle
2026-06-18 13:42:00, tokens_remaining: 2466, call: scores, phase: idle
2026-06-18 13:43:00, tokens_remaining: 2465, call: scores, phase: idle
2026-06-18 13:44:01, tokens_remaining: 2464, call: scores, phase: idle
2026-06-18 13:45:01, tokens_remaining: 2463, call: scores, phase: idle
2026-06-18 13:46:02, tokens_remaining: 2462, call: scores, phase: idle
2026-06-18 13:46:02, STATE_CHANGE: Switzerland vs Bosnia and Herzegovina [— -> NS]
2026-06-18 13:47:02, tokens_remaining: 2461, call: scores, phase: pregame
2026-06-18 13:48:03, tokens_remaining: 2460, call: scores, phase: pregame
2026-06-18 13:49:05, tokens_remaining: 2459, call: scores, phase: pregame
2026-06-18 13:50:05, tokens_remaining: 2458, call: events, phase: pregame
2026-06-18 13:51:06, tokens_remaining: 2457, call: scores, phase: pregame
2026-06-18 13:52:06, tokens_remaining: 2456, call: scores, phase: pregame
2026-06-18 13:53:07, tokens_remaining: 2455, call: scores, phase: pregame
2026-06-18 13:54:07, tokens_remaining: 2454, call: scores, phase: pregame
2026-06-18 13:55:08, tokens_remaining: 2453, call: scores, phase: pregame
2026-06-18 13:56:10, tokens_remaining: 2452, call: scores, phase: pregame
2026-06-18 13:57:11, tokens_remaining: 2451, call: scores, phase: pregame
2026-06-18 13:58:12, tokens_remaining: 2450, call: scores, phase: pregame
2026-06-18 13:59:12, tokens_remaining: 2449, call: scores, phase: pregame
